player_name,team,bye,position,position_rank,adp,consensus_adp,overall_rank
Malachi Fields,NYG,8.0,WR,81.0,318.0,263.3,246
Adam Trautman,DEN,10.0,TE,57.0,319.0,319.0,428
KeAndre Lambert-Smith,LAC,7.0,WR,145.0,320.0,320.0,429
Michael Mayer,LV,13.0,TE,58.0,321.0,321.0,430
Hunter Luepke,DAL,14.0,RB,99.0,321.0,321.0,431
Calvin Austin III,NYG,8.0,WR,146.0,322.0,322.0,432
Joe Royer,CLE,11.0,TE,59.0,323.0,323.0,433
Greg Dortch,DET,6.0,WR,147.0,324.0,324.0,435
Ben Skowronek,PIT,9.0,WR,148.0,325.0,325.0,436
Tanner McKee,PHI,10.0,QB,58.0,326.0,326.0,437
Trey Lance,LAC,7.0,QB,55.0,327.0,329.0,409
Sam Roush,CHI,10.0,TE,60.0,328.0,328.0,438
Kyle Allen,BUF,7.0,QB,59.0,329.0,329.0,439
Cedric Tillman,CLE,11.0,WR,149.0,330.0,330.0,440
Myles Price,MIN,6.0,WR,150.0,331.0,331.0,441
Zach Wilson,NO,8.0,QB,60.0,332.0,332.0,442
Sione Vaki,DET,6.0,RB,100.0,333.0,333.0,443
Jalen Milroe,SEA,11.0,QB,61.0,334.0,334.0,444
Michael Trigg,DAL,14.0,TE,47.0,335.0,310.5,361
Nick Chubb,,,RB,101.0,336.0,336.0,445
Greg Zuerlein,,,K,42.0,337.0,337.0,446
DeWayne McBride,,,RB,102.0,338.0,338.0,448
Jakobie Keeney-James,,,WR,152.0,339.0,339.0,449
Jacob Saylors,DET,6.0,RB,103.0,340.0,340.0,450
Luke McCaffrey,WAS,7.0,WR,153.0,341.0,341.0,452
Bryce Lance,NO,8.0,WR,154.0,342.0,342.0,453
Drew Sample,CIN,6.0,TE,62.0,343.0,343.0,455
Dont'e Thornton Jr.,LV,13.0,WR,155.0,344.0,344.0,457
Kareem Hunt,,,RB,104.0,345.0,345.0,458
Jeremy Ruckert,NYJ,13.0,TE,63.0,345.0,345.0,459
Brevyn Spann-Ford,DAL,14.0,TE,64.0,346.0,346.0,460
Reggie Gilliam,NE,11.0,RB,105.0,347.0,347.0,461
Gardner Minshew II,ARI,14.0,QB,64.0,348.0,348.0,462
Arian Smith,NYJ,13.0,WR,156.0,349.0,349.0,463
Charlie Jones,CIN,6.0,WR,157.0,350.0,350.0,464
Cedrick Wilson Jr.,DET,6.0,WR,158.0,351.0,351.0,465
Brendan Sorsby,,,QB,65.0,351.0,351.0,466
Mecole Hardman Jr.,BUF,7.0,WR,159.0,352.0,352.0,467
Marquez Valdes-Scantling,DAL,14.0,WR,160.0,353.0,353.0,468
Elijah Moore,PHI,10.0,WR,161.0,354.0,354.0,469
Pierre Strong Jr.,GB,11.0,RB,106.0,355.0,355.0,470
Roschon Johnson,CHI,10.0,RB,107.0,356.0,356.0,471
Hendon Hooker,TEN,9.0,QB,66.0,357.0,357.0,472
Stetson Bennett IV,LAR,11.0,QB,67.0,358.0,358.0,473
Josh Whyle,GB,11.0,TE,65.0,359.0,359.0,474
Israel Abanikanda,DAL,14.0,RB,108.0,360.0,360.0,475
Raheim Sanders,CLE,11.0,RB,109.0,361.0,361.0,476
Brady Cook,NYJ,13.0,QB,68.0,362.0,362.0,477
Eli Heidenreich,PIT,9.0,RB,110.0,363.0,363.0,478
Kadarius Toney,,,WR,162.0,364.0,364.0,479
Max Duggan,,,QB,69.0,365.0,365.0,480
Nathan Rourke,,,QB,70.0,366.0,366.0,481
Devin Leary,,,QB,71.0,367.0,367.0,482
Parker Romo,,,K,43.0,368.0,368.0,483
John Samuel Shenker,,,TE,66.0,369.0,369.0,484
Emmett Johnson,KC,5.0,RB,59.0,370.0,234.8,202
Anthony Richardson Sr.,IND,13.0,QB,72.0,371.0,371.0,485
Jake Browning,TB,10.0,QB,62.0,372.0,356.0,451
Tutu Atwell,MIA,6.0,WR,163.0,373.0,373.0,486
Mitchell Evans,CAR,5.0,TE,67.0,374.0,374.0,487
Mo Alie-Cox,IND,13.0,TE,68.0,375.0,375.0,488
Daniel Bellinger,TEN,9.0,TE,69.0,376.0,376.0,489
Ben Sinnott,WAS,7.0,TE,70.0,377.0,377.0,490
Jimmy Horn Jr.,CAR,5.0,WR,164.0,378.0,378.0,491
Nate Boerkircher,JAC,7.0,TE,71.0,379.0,379.0,492
Isaiah Williams,NYJ,13.0,WR,165.0,380.0,380.0,493
Tyrell Shavers,BUF,7.0,WR,166.0,381.0,381.0,494
Riley Leonard,IND,13.0,QB,63.0,382.0,362.5,456
Oscar Delp,NO,8.0,TE,61.0,383.0,362.5,454
Spencer Rattler,NO,8.0,QB,73.0,384.0,384.0,495
Reggie Virgil,ARI,14.0,WR,167.0,385.0,385.0,496
Kaden Wetjen,PIT,9.0,WR,168.0,386.0,386.0,497
Mason Tipton,NO,8.0,WR,169.0,387.0,387.0,498
Mason Rudolph,PIT,9.0,QB,74.0,388.0,388.0,499
Tom Kennedy,DET,6.0,WR,170.0,389.0,389.0,500
AJ Dillon,CAR,5.0,RB,111.0,390.0,390.0,501
John Metchie III,CAR,5.0,WR,99.0,391.0,308.0,299
Brittain Brown,CHI,10.0,RB,112.0,392.0,392.0,502
Julius Chestnut,TEN,9.0,RB,113.0,393.0,393.0,503
Scott Matlock,LAC,7.0,DT,,394.0,394.0,504
Jaleel McLaughlin,DEN,10.0,RB,97.0,395.0,355.0,424
Dillon Gabriel,CLE,11.0,QB,75.0,396.0,396.0,505
Jarquez Hunter,LAR,11.0,RB,90.0,397.0,337.5,377
Gavin Bartholomew,MIN,6.0,TE,72.0,398.0,398.0,506
Phil Mafah,DAL,14.0,RB,114.0,399.0,399.0,507
Dominic Lovett,DET,6.0,WR,171.0,400.0,400.0,508
Devin Neal,NO,8.0,RB,80.0,401.0,310.3,298
Nathan Carter,ATL,11.0,RB,115.0,402.0,402.0,509
Drake Dabney,GB,11.0,TE,73.0,403.0,403.0,510
Ulysses Bentley IV,IND,13.0,RB,116.0,404.0,404.0,511
Taylen Green,CLE,11.0,QB,76.0,405.0,405.0,512
Equanimeous St. Brown,,,WR,172.0,406.0,406.0,513
Austin Seibert,,,K,44.0,407.0,407.0,514
Joe Mixon,,,RB,83.0,408.0,316.0,319
Ezekiel Elliott,,,RB,117.0,409.0,409.0,515
Brandon McManus,,,K,45.0,410.0,410.0,516
Dustin Hopkins,,,K,46.0,411.0,411.0,517
Jermar Jefferson,,,RB,118.0,412.0,412.0,518
Dorian Thompson-Robinson,,,QB,77.0,413.0,413.0,519
Jordan Travis,,,QB,78.0,414.0,414.0,520
Michael Pratt,,,QB,79.0,415.0,415.0,521
Kaden Prather,GB,11.0,WR,173.0,416.0,416.0,522
Jarrett Stidham,DEN,10.0,QB,80.0,417.0,417.0,523
Joey Slye,TEN,9.0,K,47.0,418.0,418.0,524
Kevin Coleman Jr.,MIA,6.0,WR,151.0,419.0,378.0,447
Isaiah Bond,CLE,11.0,WR,142.0,420.0,364.0,412
Payne Durham,TB,10.0,TE,74.0,421.0,421.0,525
Malik Benson,LV,13.0,WR,174.0,422.0,422.0,526
Barion Brown,NO,8.0,WR,175.0,423.0,423.0,527
Max Bredeson,MIN,6.0,RB,119.0,424.0,424.0,528
Malachi Corley,CLE,11.0,WR,176.0,425.0,425.0,529
CJ Dippre,NE,11.0,TE,75.0,426.0,426.0,530
Tanner Koziol,JAC,7.0,TE,76.0,427.0,427.0,531
Drew Ogletree,IND,13.0,TE,77.0,428.0,428.0,532
Josh Cuevas,BAL,13.0,TE,78.0,429.0,429.0,533
Tyler Huntley,BAL,13.0,QB,57.0,430.0,376.5,434
Darius Cooper,PHI,10.0,WR,177.0,431.0,431.0,534
Tip Reiman,ARI,14.0,TE,79.0,432.0,432.0,535
Davis Mills,HOU,8.0,QB,81.0,433.0,433.0,536
Riley Nowakowski,PIT,9.0,TE,80.0,434.0,434.0,537
British Brooks,HOU,8.0,RB,120.0,435.0,435.0,538
LaJohntay Wester,BAL,13.0,WR,178.0,436.0,436.0,539
Nikko Remigio,KC,5.0,WR,179.0,437.0,437.0,540
Josh Cameron,JAC,7.0,WR,180.0,438.0,438.0,541
Jalen Brooks,ARI,14.0,WR,181.0,439.0,439.0,542
Jeshaun Jones,MIN,6.0,WR,182.0,440.0,440.0,543
Scotty Miller,CHI,10.0,WR,183.0,441.0,441.0,544
Gunner Olszewski,NYG,8.0,WR,184.0,442.0,442.0,545
Van Jefferson,WAS,7.0,WR,185.0,443.0,443.0,546
Gary Brightwell,CIN,6.0,RB,121.0,444.0,444.0,547
Ihmir Smith-Marsette,ARI,14.0,WR,186.0,445.0,445.0,548
Simi Fehoko,ARI,14.0,WR,187.0,446.0,446.0,549
Jaret Patterson,LAC,7.0,RB,122.0,447.0,447.0,550
David Sills V,TB,10.0,WR,188.0,448.0,448.0,551
Dameon Pierce,PHI,10.0,RB,123.0,449.0,449.0,552
Bailey Zappe,NYJ,13.0,QB,82.0,450.0,450.0,553
Chris Oladokun,KC,5.0,QB,83.0,451.0,451.0,554
Shane Buechele,BUF,7.0,QB,84.0,452.0,452.0,555
Ronnie Rivers,LAR,11.0,RB,124.0,453.0,453.0,556
Will Levis,TEN,9.0,QB,85.0,454.0,454.0,557
Eric Gray,NYG,8.0,RB,125.0,455.0,455.0,558
Princeton Fant,DAL,14.0,TE,81.0,456.0,456.0,559
Tyler Goodson,ATL,11.0,RB,126.0,457.0,457.0,560
Brenden Rice,,,WR,189.0,459.0,459.0,561
Carson Steele,PHI,10.0,RB,127.0,460.0,460.0,562
Terrell Jennings,NE,11.0,RB,128.0,461.0,461.0,563
Kurtis Rourke,SF,8.0,QB,86.0,462.0,462.0,564
Zavier Scott,MIN,6.0,RB,129.0,463.0,463.0,565
Max Brosmer,MIN,6.0,QB,87.0,464.0,464.0,566
Quentin Skinner,BUF,7.0,WR,190.0,465.0,465.0,567
Bauer Sharp,TB,10.0,TE,82.0,466.0,466.0,568
Behren Morton,NE,11.0,QB,88.0,467.0,467.0,569
Jam Miller,NE,11.0,RB,130.0,468.0,468.0,570
Dallen Bentley,DEN,10.0,TE,83.0,469.0,469.0,571
Dalvin Cook,,,RB,131.0,470.0,470.0,572
Jimmy Garoppolo,LAR,11.0,QB,89.0,471.0,471.0,573
Clyde Edwards-Helaire,,,RB,132.0,473.0,473.0,574
Antonio Gibson,,,RB,133.0,474.0,474.0,575
Riley Patterson,MIA,6.0,K,37.0,475.0,382.5,389
Zamir White,LV,13.0,RB,134.0,476.0,476.0,576
Desmond Ridder,,,QB,90.0,477.0,477.0,577
Raheem Blackshear,,,RB,135.0,478.0,478.0,578
Deuce Vaughn,,,RB,136.0,479.0,479.0,579
SaRodorick Thompson Jr.,,,RB,137.0,480.0,480.0,580
Brayden Narveson,,,K,48.0,481.0,481.0,581
Jaylen Johnson,,,WR,191.0,482.0,482.0,582
Baylor Cupp,,,TE,84.0,483.0,483.0,583
Jacob Kibodi,,,RB,138.0,484.0,484.0,584
Tommy Mellott,,,WR,192.0,485.0,485.0,585
Ja'Corey Brooks,,,WR,193.0,486.0,486.0,586
Michael Penix Jr.,ATL,11.0,QB,34.0,487.0,337.0,291
Max Klare,LAR,11.0,TE,50.0,488.0,386.5,385
Noah Fant,NO,8.0,TE,85.0,489.0,489.0,587
Ashton Dulin,IND,13.0,WR,194.0,490.0,490.0,588
Kyle Juszczyk,SF,8.0,RB,139.0,491.0,491.0,589
Cade Stover,HOU,8.0,TE,86.0,492.0,492.0,590
John Bates,WAS,7.0,TE,87.0,493.0,493.0,591
Davis Allen,LAR,11.0,TE,88.0,494.0,494.0,592
Anthony Gould,IND,13.0,WR,195.0,495.0,495.0,593
Derius Davis,LAC,7.0,WR,196.0,496.0,496.0,594
Justin Joly,DEN,10.0,TE,89.0,497.0,497.0,595
Tyler Conklin,DET,6.0,TE,90.0,498.0,498.0,596
Marlin Klein,HOU,8.0,TE,91.0,499.0,499.0,597
